id_animal,data_obito,motivo_obito,morreu_fora_do_abrigo,eutanasiado,morto_ao_chegar
55395,None,Falecimento sob Cuidados,0,0,0
55396,2017-04-11 00:00:00,Falecimento sob Cuidados,0,0,0
55397,2017-04-11 00:00:00,Falecimento sob Cuidados,0,0,0
55398,2017-04-11 00:00:00,Falecimento sob Cuidados,0,0,0
55399,2017-04-02 00:00:00,Falecimento sob Cuidados,0,0,0
55400,None,Falecimento sob Cuidados,0,0,0
55401,None,Falecimento sob Cuidados,0,0,0
55401,None,Falecimento sob Cuidados,0,0,0
55402,None,Falecimento sob Cuidados,0,0,0
55404,None,Falecimento sob Cuidados,0,0,0
55405,None,Falecimento sob Cuidados,0,0,0
55409,None,Falecimento sob Cuidados,0,0,0
55410,None,Falecimento sob Cuidados,0,0,0
55411,None,Falecimento sob Cuidados,0,0,0
55412,None,Falecimento sob Cuidados,0,0,0
55415,None,Falecimento sob Cuidados,0,0,0
55416,None,Falecimento sob Cuidados,0,0,0
55419,None,Falecimento sob Cuidados,0,0,0
55419,None,Falecimento sob Cuidados,0,0,0
55419,None,Falecimento sob Cuidados,0,0,0
55420,None,Falecimento sob Cuidados,0,0,0
55420,None,Falecimento sob Cuidados,0,0,0
55420,None,Falecimento sob Cuidados,0,0,0
55421,None,Falecimento sob Cuidados,0,0,0
55421,None,Falecimento sob Cuidados,0,0,0
55421,None,Falecimento sob Cuidados,0,0,0
55421,None,Falecimento sob Cuidados,0,0,0
55422,None,Falecimento sob Cuidados,0,0,0
55422,None,Falecimento sob Cuidados,0,0,0
55422,None,Falecimento sob Cuidados,0,0,0
55423,None,Falecimento sob Cuidados,0,0,0
55423,None,Falecimento sob Cuidados,0,0,0
55423,None,Falecimento sob Cuidados,0,0,0
55425,None,Falecimento sob Cuidados,0,0,0
55426,None,Falecimento sob Cuidados,0,0,0
55427,None,Falecimento sob Cuidados,0,0,0
55428,None,Falecimento sob Cuidados,0,0,0
55429,None,Falecimento sob Cuidados,0,0,0
