id_animal,data_entrada,motivo_entrada,transferencia,codigo_abrigo,localizacao,data_movimentacao,tipo_movimentacao,adocao_teste,data_retorno,motivo_retorno
56295,2017-06-22 14:27:29,Entrega de Ninhada,0,C1706556,Recepcao,2017-06-28 00:00:00,Adocao,0.0,None,Animal Errante
56296,2017-06-22 14:27:29,Entrega de Ninhada,0,C1706557,Escritorio,2017-07-30 00:00:00,Adocao,0.0,None,Animal Errante
56297,2017-06-22 14:27:29,Entrega de Ninhada,0,C1706558,Recepcao,2017-06-29 00:00:00,Adocao,0.0,None,Animal Errante
56298,2017-06-22 14:27:29,Entrega de Ninhada,0,C1706559,"Gatos Adotaveis, Canis",2017-07-15 00:00:00,Adocao,0.0,None,Animal Errante
56299,2017-06-22 16:48:00,Animal Errante,0,C1706560,Gatos Errantes,2017-06-23 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56301,2017-06-23 09:01:08,Animal Errante,0,C1706561,Recepcao,2017-06-30 00:00:00,Lar Temporario,0.0,2017-07-09 00:00:00,Animal Errante
56301,2017-06-23 09:01:08,Animal Errante,0,C1706561,Recepcao,2017-07-10 00:00:00,Lar Temporario,0.0,2017-07-15 00:00:00,Animal Errante
56301,2017-06-23 09:01:08,Animal Errante,0,C1706561,Recepcao,2017-08-04 00:00:00,Adocao,0.0,None,Animal Errante
56302,2017-06-23 10:05:34,Entrega de Ninhada,0,C1706562,"Cuidados Especiais, Gatos",2017-08-10 00:00:00,Adocao,0.0,None,Animal Errante
56305,2017-06-23 12:29:25,Animal Errante,0,D1706562,"Caes Errantes, Beta",2017-06-24 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56306,2017-06-23 12:47:55,Incompativel com Estilo de Vida do Tutor,0,D1706563,"Caes Errantes, Beta",2017-07-15 00:00:00,Adocao,0.0,2017-07-25 00:00:00,Incompativel com Estilo de Vida do Tutor
56306,2017-06-23 12:47:55,Incompativel com Estilo de Vida do Tutor,0,D1706563,"Caes Errantes, Beta",2017-07-29 00:00:00,Adocao,0.0,None,Animal Errante
56307,2017-06-23 14:54:56,Moradia Inadequada,0,C1706564,"Cuidados Especiais, Gatos",2017-06-23 00:00:00,Lar Temporario,0.0,2017-09-08 00:00:00,Animal Errante
56307,2017-06-23 14:54:56,Moradia Inadequada,0,C1706564,"Cuidados Especiais, Gatos",2017-09-16 00:00:00,Adocao,0.0,None,Animal Errante
56308,2017-06-23 15:08:34,Incompativel com Estilo de Vida do Tutor,0,D1706564,Cães Adotaveis,2017-07-08 00:00:00,Adocao,0.0,None,Animal Errante
56309,2017-06-23 15:22:17,Mudança,0,D1706565,Cães Adotaveis,2017-07-01 00:00:00,Adocao,0.0,None,Animal Errante
56310,2017-06-23 15:34:03,Animal Errante,0,D1706566,"Caes Errantes, Alfa",2017-07-13 00:00:00,Adocao,0.0,2017-11-04 00:00:00,Incompativel com Estilo de Vida do Tutor
56310,2017-06-23 15:34:03,Animal Errante,0,D1706566,"Caes Errantes, Alfa",2017-11-22 00:00:00,Adocao,0.0,None,Animal Errante
56311,2017-06-23 15:54:23,Incompativel com Estilo de Vida do Tutor,0,D1706567,"Caes Errantes, Beta",2017-07-05 00:00:00,Transferencia,0.0,None,Animal Errante
56314,2017-06-23 17:32:07,Problemas com Proprietario do Imovel,0,D1706569,Cães Adotaveis,2017-07-08 00:00:00,Adocao,0.0,None,Animal Errante
56316,2017-06-23 17:58:46,Animal Errante,0,C1706569,"Gatos Adotaveis, Colonia Pequena",2017-07-08 00:00:00,Adocao,0.0,None,Animal Errante
56317,2017-06-23 18:01:26,Mordedura,0,D1706013,Cães Adotaveis,2017-07-14 00:00:00,Adocao,0.0,None,Animal Errante
56318,2017-06-23 18:17:31,Animal Errante,0,D1706570,Cães Adotaveis,2017-07-21 00:00:00,Adocao,0.0,None,Animal Errante
56319,2017-06-23 18:18:57,Animal Errante,0,D1706571,Cães Adotaveis,2017-07-08 00:00:00,Adocao,0.0,None,Animal Errante
56320,2017-06-23 19:00:23,Animal Errante,0,C1706572,Gatos Errantes,2017-07-10 00:00:00,Adocao,0.0,None,Animal Errante
56321,2017-06-24 08:54:36,Animal Errante,0,C1706573,"Bercario, Felinos",2017-06-30 00:00:00,Lar Temporario,0.0,2017-07-09 00:00:00,Animal Errante
56321,2017-06-24 08:54:36,Animal Errante,0,C1706573,"Bercario, Felinos",2017-07-10 00:00:00,Lar Temporario,0.0,2017-07-11 00:00:00,Animal Errante
56322,2017-06-24 08:57:52,Animal Errante,0,C1706574,"Bercario, Felinos",2017-06-30 00:00:00,Lar Temporario,0.0,2017-07-09 00:00:00,Animal Errante
56323,2017-06-24 12:13:19,Animal Errante,0,D1706575,"Caes Errantes, Beta",2017-07-05 00:00:00,Transferencia,0.0,None,Animal Errante
56324,2017-06-24 12:21:42,Entrega de Ninhada,0,C1706570,Recepcao,2017-07-01 00:00:00,Adocao,0.0,None,Animal Errante
56325,2017-06-24 12:21:42,Entrega de Ninhada,0,C1706571,Recepcao,2017-07-08 00:00:00,Adocao,0.0,None,Animal Errante
56326,2017-06-24 12:21:42,Entrega de Ninhada,0,C1706575,Sala de Gatos C,2017-07-01 00:00:00,Adocao,0.0,2019-07-13 00:00:00,Incompativel com Outros Animais
56327,2017-06-24 12:21:42,Entrega de Ninhada,0,C1706576,Recepcao,2017-07-01 00:00:00,Adocao,0.0,None,Animal Errante
